"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"9827",0.12,0.16,0.22,0.29,0.39,0.46,0.51,0.6,0.73,0.81,0.87,0.92,0.94,0.97,1,1,0.94,0.93,0.67
"9828",0.71,0.72,0.72,0.71,0.67,0.65,0.65,0.67,0.72,0.8,0.85,0.86,0.9,0.94,0.98,0.99,0.97,0.96,0.94
"9829",0.26,0.24,0.25,0.27,0.27,0.33,0.34,0.36,0.4,0.48,0.52,0.64,0.73,0.88,0.94,0.96,0.98,0.99,0.48
"9830",0.13,0.11,0.09,0.06,0.05,0.03,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.02,0.05,0
"9831",0.16,0.15,0.16,0.17,0.22,0.25,0.3,0.38,0.41,0.46,0.43,0.46,0.44,0.45,0.45,0.48,0.47,0.52,0.33
"9832",0.32,0.28,0.28,0.26,0.23,0.21,0.17,0.11,0.08,0.07,0.06,0.06,0.07,0.07,0.09,0.1,0.1,0.11,0.07
"9833",0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.07,0.08,0.11,0.14,0.17,0.21,0.26,0.32,0.01
"9834",0.04,0.04,0.07,0.11,0.12,0.21,0.29,0.38,0.49,0.54,0.51,0.44,0.34,0.27,0.23,0.18,0.13,0.11,0.22
"9835",0.06,0.04,0.04,0.01,0.02,0.02,0.02,0.02,0.01,0,0,0.01,0.02,0.07,0.1,0.14,0.25,0.33,0.01
"9836",0.32,0.28,0.23,0.18,0.18,0.13,0.1,0.1,0.08,0.07,0.09,0.15,0.2,0.29,0.38,0.45,0.51,0.63,0.14
"9837",0.16,0.14,0.1,0.09,0.1,0.09,0.07,0.06,0.06,0.09,0.12,0.16,0.25,0.28,0.36,0.46,0.55,0.64,0.14
"9838",0.99,0.99,1,0.99,1,0.99,0.97,0.95,0.89,0.85,0.81,0.8,0.67,0.64,0.58,0.55,0.58,0.59,0.97
"9839",0.99,0.98,0.95,0.91,0.88,0.81,0.8,0.79,0.76,0.69,0.67,0.63,0.57,0.42,0.41,0.39,0.33,0.29,0.82
"9840",0.51,0.48,0.54,0.59,0.62,0.66,0.77,0.8,0.79,0.83,0.83,0.83,0.8,0.82,0.82,0.84,0.85,0.84,0.86
"9841",0.42,0.42,0.41,0.41,0.5,0.56,0.67,0.73,0.81,0.88,0.89,0.9,0.9,0.9,0.85,0.82,0.78,0.75,0.79
"9842",0.27,0.21,0.18,0.12,0.09,0.04,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.19,0.29,0.41,0.49,0.63,0.03
"9843",0.21,0.19,0.19,0.22,0.22,0.24,0.31,0.38,0.48,0.5,0.65,0.66,0.72,0.72,0.75,0.77,0.78,0.79,0.42
"9844",0.59,0.6,0.6,0.6,0.57,0.56,0.52,0.46,0.39,0.39,0.4,0.44,0.52,0.6,0.66,0.74,0.81,0.87,0.63
"9845",0.07,0.06,0.05,0.05,0.03,0.03,0.04,0.04,0.04,0.07,0.1,0.14,0.15,0.19,0.28,0.32,0.36,0.4,0.05
"9846",0.78,0.87,0.92,0.96,0.96,0.89,0.8,0.63,0.46,0.42,0.36,0.28,0.29,0.28,0.27,0.31,0.34,0.33,0.55
