"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"5144","Bradi2g06650.v3.1",25.44774472,22.20105927,28.2851049,23.55684784,22.09187096,22.75369438,21.62969891,26.11342248,26.05095754,26.20633995,25.53418641,26.62909418,23.38250795,30.38521996,31.58633225,20.59881605,24.15094186,21.18659266
"5145","Bradi2g06660.v3.1",2.622250042,3.353284994,3.920707609,3.751873938,2.325460101,1.006800636,3.216312106,4.369171855,5.490560558,1.87933912,4.824048246,2.967029992,2.543112647,5.371972589,4.747078835,2.633638581,4.703078152,3.16964772
"5146","Bradi2g06680.v3.1",41.77721089,36.6548739,44.99478733,45.39152404,45.09731552,50.23935175,46.95815674,49.17858553,54.67196471,43.85124613,51.48423904,48.80764337,55.94847823,58.83988727,53.03947698,35.27194529,36.98907411,40.1210672
"5148","Bradi2g06740.v3.1",268.1250668,214.6102396,275.4763846,368.2987072,272.7432489,287.4415817,301.5292599,325.6557162,245.439739,313.4320021,260.748125,249.6013981,350.8082612,325.5079641,269.3967239,266.3737308,290.0019677,269.2532327
"5149","Bradi2g06750.v3.1",13.52842635,21.96979823,21.93729258,22.32672524,18.27147222,22.04893393,20.26276627,24.58929277,32.59290204,31.53113412,24.36976097,30.18953017,17.51922046,41.54885049,21.54443471,19.75228936,24.46871741,28.02635879
"5150","Bradi2g06760.v3.1",4.767727349,5.319003783,7.748065037,5.474045582,5.564493812,3.3224421,6.754255422,3.149868081,6.074662745,6.995317835,5.655780703,5.563181235,4.803657222,5.204098446,6.207718476,4.608867518,4.00397194,2.919412374
"5151","Bradi2g06790.v3.1",19.42848895,4.625220681,13.72247663,3.751873938,15.53075139,13.18908833,16.08156053,6.502953459,11.79886418,10.33636516,13.05819956,15.05767721,16.8834423,15.52835827,11.59382715,16.36618261,10.55014829,14.34682652
"5152","Bradi2g06800.v3.1",23.12347764,15.95701135,24.36439729,20.72756585,24.99869608,27.88837762,29.02721675,41.96437154,35.2797721,38.83967515,36.01401536,31.45051791,29.38707948,29.88159753,31.49504227,20.59881605,23.26117032,23.93918147
"5153","Bradi2g06810.v3.1",14.54156841,17.11331652,13.53577627,8.979894999,11.21203977,18.52513171,14.87544349,10.66890802,13.78481161,16.91405208,16.80099562,15.42855596,17.51922046,15.19260998,16.06703606,15.04936332,12.83813225,15.76482682
"5154","Bradi2g06830.v3.1",51.37226218,49.95238335,39.20707609,38.68735585,48.91771426,52.25295302,47.03856455,35.86785267,29.43875023,40.19697562,43.25008773,44.87632863,51.28610505,59.76319505,75.95326136,31.22742889,43.34458513,41.37224393
