Gene,BhBs.10.1,BhBs.10.2,BhBs.10.3,BhBs.14.1,BhBs.14.2,BhBs.14.3,BhBs.18.1,BhBs.18.2,BhBs.18.3,BhBs.22.1,BhBs.22.2,BhBs.22.3,BhBs.2.1,BhBs.2.2,BhBs.2.3,BhBs.6.1,BhBs.6.2,BhBs.6.3
Bradi1g23110.v3.1,22.93980619,17.55456075,28.73026317,40.47991184,19.84865902,25.65971117,28.4324318,16.29453591,20.98651402,27.70446317,25.07207802,29.73750538,23.29093425,24.20922955,25.37868355,31.43404395,36.76849562,30.57900323
Bradi1g23120.v3.1,27.76923907,16.85237832,13.50893169,17.49131993,18.83940517,30.9969311,30.0664796,11.96307699,18.60168288,17.76469394,22.21150536,24.15228863,23.72224785,18.19984633,25.75189948,28.19538487,16.77159449,16.30880172
Bradi1g23130.v3.1,6.278262747,4.681216199,6.278799235,10.49479196,4.709851293,4.926664545,8.170239022,9.900477512,6.20056096,6.767502453,6.057683279,9.962819061,17.10877269,14.07912641,8.957182429,7.239355575,8.256784981,4.247083782
Bradi1g23140.v3.1,11.4699031,8.894310778,9.32306553,16.49181594,8.410448738,12.72721674,12.41876331,12.78811679,20.03258156,11.84312929,11.7788286,17.81231287,19.98419667,21.29038627,14.92863738,8.001393004,17.02961902,8.833934267
Bradi1g23160.v3.1,70.50972008,65.77108759,55.93839318,58.97073577,66.94717195,67.94691519,64.54488827,62.4967643,79.65336002,61.33049098,77.06719283,83.17444398,79.79301548,91.85771497,81.17446576,54.86669489,62.44193642,69.48229068
Bradi1g23192.v3.1,33.80603017,31.59820934,30.6329296,33.60832187,42.22045266,46.18748011,65.36191218,42.07702943,29.81038923,34.04899672,44.92781766,32.90749326,33.78623178,29.36012946,32.09657037,33.52964688,34.70429937,41.45153772
Bradi1g23250.v3.1,114.5782951,160.5657156,118.3458522,105.0728576,94.53344381,125.6299459,112.2590842,95.49835601,160.0221694,122.0265286,149.9276612,115.9309854,155.8479798,218.7415493,211.053611,139.8338682,147.2029947,166.9953343
Bradi1g23257.v3.1,34.16823764,20.59735127,29.3010631,46.97668782,34.81925777,37.56581716,47.22398155,27.43257311,20.03258156,28.12743207,27.09130578,30.6432162,40.39970694,60.95231554,39.74749703,42.48358667,32.51109086,32.61760345
Bradi1g23270.v3.1,12.43578967,6.553702678,7.230132452,7.496279971,7.06477694,5.337219924,7.189810339,13.20063668,2.861797366,11.42016039,14.80767024,8.00044561,14.52089111,12.36215977,4.851807149,15.24074858,8.256784981,8.833934267
Bradi1g23280.v3.1,128.945858,93.15620235,107.5006536,100.8249656,116.4006105,111.671063,129.9068004,103.9550139,139.7511047,122.4494975,155.4805375,134.3471055,125.5122568,125.6819577,157.1239084,117.3537641,136.623989,133.1885474
